Address,Detail_URL,ID,Monthly Rent,Move In Date,Move Out Date,Lease Term,Short Lease Term,Sublease Permitted,Security Deposit,Property Owner,Property Type,"Location
                                            Sector",Level,City,Bedrooms,Bathrooms,Max Occupancy,Wheel Chair Access,Basement,Laundry,Parking,Number of Parking Spaces,Off-street Parking,Off-street Monthly,Off-street Yearly,On-street Parking,On-street Permit Required,Garage Parking,Garage Monthly,Garage Yearly,Furnished,Fireplace,Air Conditioning,Dishwasher,Stove,Refrigerator,Security System,Backyard,Deck Or Porch,Other Amenities,Pet Deposit,Additional Pet Rent,Additional Dog Rent,Additional Cat Rent,Pets Allowed,Dogs Allowed,Cats Allowed,Pet Deposit Refundable,Water Included,Electric Included,Gas Included,Name,Phone
213 East Hudson Avenue,https://offcampus.osu.edu/search-housing.aspx?property=17595&pricefrom=0&sort=1&alllandlords=0,000044BB,"$1,285.00",8/4/2026,7/19/2027,12 months,No,Yes,$1285,Peak Property Group,Duplex/Town House,University District: Northeast,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,Yes,Laundry Hookup,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,Yes,Yes,"TO SCHEDULE A SHOWING: (380) 212-2639 or 207-215-e-hudson-st@rent.dynasty.com

WEBSITE: www.peakpropertygroup.com",$250,$35,$35,$35,Yes,Yes,Yes,No,No,No,No,,
161 West Maynard Avenue Unit 3K,https://offcampus.osu.edu/search-housing.aspx?property=13224&pricefrom=0&sort=1&alllandlords=0,000033A8,"$1,290.00",8/20/26,8/5/27,12 months,No,Yes,$1290,Buckeye Real Estate,Duplex/Town House,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,Yes,No,Laundry facilities in the building,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
191 Chittenden Avenue Unit D,https://offcampus.osu.edu/search-housing.aspx?property=18942&pricefrom=0&sort=1&alllandlords=0,000049FE,"$1,295.00",08/04/2026,07/19/2027,12 months,No,Yes,$1295,Peak Property Group,Apartment,University District: Central,Ground Level,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,TO SCHEDULE A SHOWING: (380) 212-2422 or 191-chittenden-ave@rent.dynasty.com,$250,$35,$35,$35,Yes,Yes,Yes,No,No,No,No,,
"PO Box 12788Columbus, OH 43212",https://offcampus.osu.edu/search-housing.aspx?property=22032&pricefrom=0&sort=1&alllandlords=0,00005610,"$1,295.00",3/1/2026,7/27/2026,5 months,Yes,Yes,$99,Peak Property Group,Apartment,University District: Northeast,Above Ground,"Columbus, OH",2,"1 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,0,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$250,$35,$0,$0,Yes,Yes,Yes,No,No,No,No,Chelsie Flores,614-360-2020
"2844 Atoll DrLewis Center, OH 43035",https://offcampus.osu.edu/search-housing.aspx?property=6813&pricefrom=0&sort=1&alllandlords=0,00001A9D,"$1,295.00 - $1,395.00",08-01-2026,07-31-2027,12 month,No,No,$SAME AS THE MONTH'S RENT,C.E. Investments,Duplex/Town House,University District: Southwest,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry facilities in the building,Yes,0,No,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Window A/C,Yes,Yes,Yes,No,Yes,Yes,"Deal directy with the owner.  24/7 maintenance.
Two remaining at this price !  Fenced private back yard, great lighting and 24/7 maintenance   Thanks!",$0,$0,$0,$0,No,No,No,No,No,No,No,Jerry Einsiedel,330-692-3200
33 West 8th Avenue Unit B,https://offcampus.osu.edu/search-housing.aspx?property=6824&pricefrom=0&sort=1&alllandlords=0,00001AA8,"$1,295.00 - $1,395.00",08-01-2026,07-31-2027,12 months,No,No,$$1295,C.E. Investments,Apartment,University District: Southwest,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the building,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Window A/C,Yes,Yes,Yes,No,Yes,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
31 West 8th Avenue Unit B,https://offcampus.osu.edu/search-housing.aspx?property=6827&pricefrom=0&sort=1&alllandlords=0,00001AAB,"$1,295.00 - $1,395.00",08-01-2026,07-31-2027,12 months,No,No,$one months rent,C.E. Investments,Apartment,University District: Southwest,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the building,Yes,1,Yes,n/a,$Free,Yes,No,No,n/a,n/a,No,No,Window A/C,Yes,Yes,Yes,No,Yes,Yes,"Close to everything, bus, Kroger, Gateway etc. Water is 30 per month.   Your best bang for the buck !   24 hr maintenance !!  Talk to residents privately !!!",$0,$0,$0,$0,No,No,No,No,No,No,No,,
67 1/2 Euclid Avenue,https://offcampus.osu.edu/search-housing.aspx?property=6815&pricefrom=0&sort=1&alllandlords=0,00001A9F,"$1,295.00 - $1,395.00",8-1-2026,07-31-2027,12 month,No,No,$Same as months rent,C.E. Investments,Duplex/Town House,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry facilities in the building,Yes,0,No,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Window A/C,Yes,Yes,Yes,No,Yes,Yes,"Apartment also includes FREE washer and dryer units in basement. 24/7 maintenance, great fenced backyard with plenty of lighting.",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1513 North High Street Unit D,https://offcampus.osu.edu/search-housing.aspx?property=17540&pricefrom=0&sort=1&alllandlords=0,00004484,"$1,295.00",8/20/2026,8/05/2027,12 Months,No,Yes,$1295,Buckeye Real Estate,Apartment,University District: Southwest,Above Ground,"Columbus, OH",1,"1 full, 1 half",2,No,No,Laundry facilities in the unit,No,0,No,n/a,n/a,No,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,No,No,,$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
"PO Box 12788Columbus, OH 43212",https://offcampus.osu.edu/search-housing.aspx?property=21956&pricefrom=0&sort=1&alllandlords=0,000055C4,"$1,299.00",08/20/2026,07/29/2027,12 month,No,Yes,$1299,Peak Property Group,Apartment,University District: Southwest,Ground Level,"Columbus, OH",2,"1 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,0,Yes,n/a,n/a,No,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$250,$35,$0,$0,Yes,Yes,Yes,No,No,No,No,Chelsie Flores,614-360-2020
"PO Box 27Powell, OH 43065",https://offcampus.osu.edu/search-housing.aspx?property=20903&pricefrom=0&sort=1&alllandlords=0,000051A7,"$1,300.00",03-01-2026,07-31-2027,16 Months,No,No,$300,Kiehle Management,Duplex/Town House,University District: Northeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry facilities in the building,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,No,No,None,No,Yes,Yes,No,No,Yes,,$200-300,$0,$0,$0,No,No,Yes,Yes,Yes,No,No,Jamie Cerrienne,614-596-2296
421 East 13th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=19131&pricefrom=0&sort=1&alllandlords=0,00004ABB,"$1,300.00",08-15-2026,07-31-2027,12 months,No,Yes,$1300,Arch City Properties LLC,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",4,"1 full, 0 half",4,No,Yes,Laundry facilities in the unit,Yes,4,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"Renovations include:
6’ tall privacy fence in back
Kitchen with all new appliances
3 piece bathroom
4 dedicated off street parking spots
Refinished oak hardwood floors
2nd floor laundry with washer / dryer
Covered front porch & open back deck
Lots of common areas
Storage in private basement
3 floors totaling 1,764 square feet",$100,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
100 Chittenden Avenue,https://offcampus.osu.edu/search-housing.aspx?property=15181&pricefrom=0&sort=1&alllandlords=0,00003B4D,"$1,300.00",08-01-2026,07-30-2027,350 days,No,No,$1300,S&G Properties,Apartment,University District: Central,Above Ground,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the building,Yes,27,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"www.100chit.com video, floorplan etc
$1300/$650 per person
Really a great two bedroom....
call 614-395-2576.
Modern and nice.....Full kitchen with all appliances.
Central Air
On Site Laundry",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1457 Hunter Avenue,https://offcampus.osu.edu/search-housing.aspx?property=8083&pricefrom=0&sort=1&alllandlords=0,00001F93,"$1,300.00",8/15/2026,7/31/2027,11.5 month,No,Yes,$1300,"Kohr Royer Griffith, Inc.",Duplex/Town House,University District: Southwest,Ground Level,"Columbus, OH",2,"1 full, 0 half",4,No,Yes,Laundry Hookup,No,0,No,n/a,n/a,No,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
1455 Hunter Avenue,https://offcampus.osu.edu/search-housing.aspx?property=7681&pricefrom=0&sort=1&alllandlords=0,00001E01,"$1,300.00",08-15-2026,07-31-2027,11.5 months,No,Yes,$1300,"Kohr Royer Griffith, Inc.",Duplex/Town House,University District: Southwest,Ground Level,"Columbus, OH",2,"1 full, 0 half",4,No,No,Laundry Hookup,Yes,0,No,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,Washer/Dryer,$0,$0,$0,$0,No,No,No,No,No,No,No,,
400 East 15th Avenue B2,https://offcampus.osu.edu/search-housing.aspx?property=15725&pricefrom=0&sort=1&alllandlords=0,00003D6D,"$1,300.00",08/01/2026,07/15/2027,12 months,No,Yes,$1300,DPG Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$500,$50,$0,$0,Yes,No,No,No,No,No,No,,
390 East 15th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=15663&pricefrom=0&sort=1&alllandlords=0,00003D2F,"$1,300.00",8/1/2026,07/15/2027,12 Months,No,Yes,$1300,DPG Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the unit,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,,$500,$50,$0,$0,Yes,Yes,Yes,No,No,No,No,,
42 West 8th Avenue Unit 2,https://offcampus.osu.edu/search-housing.aspx?property=7473&pricefrom=0&sort=1&alllandlords=0,00001D31,"$1,300.00",08-19-2026,07-31-2027,12 months,No,No,$1300,Hometeam,Apartment,University District: Southwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the unit,Yes,0,Yes,$Ask us about our pricing,n/a,Yes,No,No,n/a,n/a,No,No,None,Yes,Yes,Yes,No,No,No,,$0,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
88 East 11th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=11816&pricefrom=0&sort=1&alllandlords=0,00002E28,"$1,300.00",08-19-2026,07-31-2027,12 months,No,No,$1300,Hometeam,Apartment,University District: Southeast,Ground Level,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the unit,Yes,2,Yes,$Ask us about our pricing,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$0,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
419 East 17th Avenue Rear,https://offcampus.osu.edu/search-housing.aspx?property=12610&pricefrom=0&sort=1&alllandlords=0,00003142,"$1,300.00",11/01/2025,07/20/2025,8.5 Months,No,No,$1300,"Dwine Properties, LLC",House,University District: Central,Above Ground,"Columbus, OH",2,"1 full, 0 half",2,No,Yes,Laundry Hookup,Yes,2,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Microwave, 1 Full Bath, (2) Parking spots are off-street parking and directly next house (part of the lot for house)",$0,$0,$0,$0,No,No,No,No,Yes,No,No,,
198 East 16th Avenue Unit B3,https://offcampus.osu.edu/search-housing.aspx?property=16797&pricefrom=0&sort=1&alllandlords=0,0000419D,"$1,300.00",8/9/2026,7/31/2027,11.5 Months,No,Yes,$1300,Pella Company,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,$100,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$0,$0,$0,$0,No,No,No,No,No,No,Yes,,
144 East Norwich Avenue,https://offcampus.osu.edu/search-housing.aspx?property=13137&pricefrom=0&sort=1&alllandlords=0,00003351,"$1,300.00 - $1,400.00",08-01-2026,07-30-2027,12 months,No,No,$1300,S&G Properties,Apartment,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,$700,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"YOUTUBE VIDEO WALKTHROUGH BELOW!
https://youtu.be/j3CtiBxxvSE

Please Contact 614-395-1993

Central air, large, updated....parking available.
Great location....",$0,$0,$0,$0,No,No,No,No,No,No,No,,
18 West Norwich Road,https://offcampus.osu.edu/search-housing.aspx?property=14986&pricefrom=0&sort=1&alllandlords=0,00003A8A,"$1,300.00",08/24/2025,07/26/2026,"August 24, 2025- July 26, 2026",No,Yes,$1300,"Locations, Ltd",Duplex/Town House,University District: Northwest,Ground Level,"Columbus, OH",2,"1 full, 0 half",2,No,Yes,Laundry Hookup,Yes,0,No,n/a,n/a,Yes,No,No,n/a,n/a,No,No,None,Yes,Yes,Yes,No,No,Yes,https://www.osulive.com/listings/detail/27a66f88-9111-4ec3-811f-64054166decc,$500,$0,$0,$0,No,Yes,Yes,No,No,No,No,,
1545 Indianola Avenue Unit 1D,https://offcampus.osu.edu/search-housing.aspx?property=13457&pricefrom=0&sort=1&alllandlords=0,00003491,"$1,302.00 - $1,320.00",08-19-2026,07-31-2027,12 months,No,No,$1302-1320,Hometeam,Apartment,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the building,Yes,2,Yes,$Ask us about our pricing,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$0,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
1355 N High St - The Rich North High Street,https://offcampus.osu.edu/search-housing.aspx?property=21309&pricefrom=0&sort=1&alllandlords=0,0000533D,"$1,319.00",08-20-2026,07-31-2027,12-month,No,Yes,$0,VERVE Columbus,Apartment,University District: Central,Above Ground,"Columbus, OH",2,"2 full, 0 half",2,Yes,No,Laundry facilities in the unit,Yes,132,Yes,n/a,n/a,Yes,,Yes,$160,n/a,Yes,No,Central A/C,Yes,Yes,Yes,Yes,No,No,,$300,$30,$0,$0,Yes,Yes,Yes,Yes,No,No,No,,
"PO Box 12788Columbus, OH 43212",https://offcampus.osu.edu/search-housing.aspx?property=21961&pricefrom=0&sort=1&alllandlords=0,000055C9,"$1,320.00",08/20/2026,07/29/2027,12,No,Yes,$1320,Peak Property Group,Apartment,University District: Southeast,Ground Level,"Columbus, OH",2,"1 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,0,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"Located near the Short North Arts District and just a short walk to shopping, restaurants and night life!

Key Features Include:
- Hardwood floors
- Sky Lights
- Air conditioning
- Off-street parking available

Professionally managed by Peak Property Group. We are proud to offer friendly professional service, 24/7 maintenance, online rent payment, online resident portals for easy communications, and of course we are pet friendly!",$250,$35,$0,$0,Yes,Yes,Yes,No,No,No,No,Chelsie Flores,614-360-2020
171 West Maynard Avenue Unit 4C,https://offcampus.osu.edu/search-housing.aspx?property=13255&pricefrom=0&sort=1&alllandlords=0,000033C7,"$1,320.00",8/20/2026,8/05/2027,12 Months,No,Yes,$1320,Buckeye Real Estate,Apartment,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,Microhood,$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
171 West Maynard Avenue Unit 3C,https://offcampus.osu.edu/search-housing.aspx?property=13253&pricefrom=0&sort=1&alllandlords=0,000033C5,"$1,320.00",8/20/2026,8/05/2027,12 Months,No,Yes,$1320,Buckeye Real Estate,Apartment,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,,$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
170 West Maynard Avenue Unit 3D,https://offcampus.osu.edu/search-housing.aspx?property=13235&pricefrom=0&sort=1&alllandlords=0,000033B3,"$1,320.00",8/20/2026,8/05/2027,50 weeks,No,Yes,$1320,Buckeye Real Estate,Apartment,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,Microhood,$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
170 West Maynard Avenue Unit 2D,https://offcampus.osu.edu/search-housing.aspx?property=13234&pricefrom=0&sort=1&alllandlords=0,000033B2,"$1,320.00",8/20/2026,08/05/2027,12 Months,No,Yes,$1320,Buckeye Real Estate,Apartment,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,,$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
170 West Maynard Avenue 2C,https://offcampus.osu.edu/search-housing.aspx?property=13233&pricefrom=0&sort=1&alllandlords=0,000033B1,"$1,320.00",8/20/2026,8/05/2027,50 weeks,No,Yes,$1320,Buckeye Real Estate,Apartment,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,Microhood,$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
170 West Maynard Avenue Unit 2B,https://offcampus.osu.edu/search-housing.aspx?property=13232&pricefrom=0&sort=1&alllandlords=0,000033B0,"$1,320.00",08/20/2026,08/05/2027,12 Months,No,Yes,$1320,Buckeye Real Estate,Apartment,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,Microhood,$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
170 West Maynard Avenue Unit 2A,https://offcampus.osu.edu/search-housing.aspx?property=13231&pricefrom=0&sort=1&alllandlords=0,000033AF,"$1,320.00",08/20/2026,08/05/2027,50 Weeks,No,Yes,$1320,Buckeye Real Estate,Apartment,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Chestnut Hill Apartments! Spacious two bedroom, one bath flat features fully renovated kitchen and bath and washer/dryer in unit! Well appointed kitchen includes dishwasher and microhood. Upper units have balconies! Off Street parking available!

Each resident may buy one permit for the open lot areas, these spaces could potentially be oversold. Optional reserved covered parking available for purchase at the beginning of the term available first come, first serve until they are sold out.

View our Leasing Procedure and a copy of our Lease Agreement at BuckeyeRealEstate.com > Future Residents > FAQs/Documents

Available Matterport tours may be from another, yet similar unit.
https://my.matterport.com/show/?m=ZcGgSaYBoJ8",$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
"PO Box 12788Columbus, OH 43212",https://offcampus.osu.edu/search-housing.aspx?property=21840&pricefrom=0&sort=1&alllandlords=0,00005550,"$1,325.00",8/13/2026,7/26/2027,12 months,No,Yes,$1325,Peak Property Group,Duplex/Town House,University District: Central,Ground Level,"Columbus, OH",2,"1 full, 0 half",0,No,Yes,Laundry Hookup,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,TO SCHEDULE A SHOWING: www.peakpropertygroup.com,$250,$35,$35,$35,Yes,Yes,Yes,No,No,No,No,Chelsie Flores,614-360-2020
"PO Box 12788Columbus, OH 43212",https://offcampus.osu.edu/search-housing.aspx?property=21415&pricefrom=0&sort=1&alllandlords=0,000053A7,"$1,325.00",8/13/2026,7/26/2027,12 mo.,No,Yes,$1325,Peak Property Group,Duplex/Town House,University District: Central,Ground Level,"Columbus, OH",2,"1 full, 0 half",3,No,Yes,Laundry Hookup,Yes,0,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,TO SCHEDULE A SHOWING: www.peakpropertygroup.com,$250,$35,$35,$35,Yes,Yes,Yes,No,No,No,No,Chelsie Flores,614-360-2020
202 East 9th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20635&pricefrom=0&sort=1&alllandlords=0,0000509B,"$1,325.00",08/01/2026,07/01/2027,12 months,No,Yes,$1325,Peak Property Group,Duplex/Town House,University District: Central,Ground Level,"Columbus, OH",2,"1 full, 0 half",4,No,Yes,Laundry Hookup,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,TO SCHEDULE A SHOWING: www.peakpropertygroup.com,$250,$35,$35,$35,Yes,Yes,Yes,No,No,No,No,,
1355 N. High St. - The Scioto North High Street,https://offcampus.osu.edu/search-housing.aspx?property=21565&pricefrom=0&sort=1&alllandlords=0,0000543D,"$1,329.00",08-20-2026,07-31-2027,12-month,No,Yes,$0,VERVE Columbus,Apartment,University District: Central,Above Ground,"Columbus, OH",2,"2 full, 0 half",2,Yes,No,Laundry facilities in the unit,Yes,132,Yes,n/a,n/a,Yes,,Yes,$160,n/a,Yes,No,Central A/C,Yes,Yes,Yes,Yes,No,No,,$300,$30,$0,$0,Yes,Yes,Yes,Yes,No,No,No,,
"900 Nettle DriveColumbus, OH 43221",https://offcampus.osu.edu/search-housing.aspx?property=19912&pricefrom=0&sort=1&alllandlords=0&sublet=true,00004DC8,"$1,330.00",2/1/2026,7/29/2026,7 months,No,Yes,$1330,Fisher Commons,Apartment,Other,Above Ground,"Columbus, OH",1,"1 full, 0 half",2,No,No,Laundry facilities in the unit,Yes,1,No,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$N/A,$00,$40,$40,Yes,Yes,Yes,No,No,No,No,Ingrid Stevens,614-487-9008
34 East 13th Avenue E,https://offcampus.osu.edu/search-housing.aspx?property=17881&pricefrom=0&sort=1&alllandlords=0,000045D9,"$1,330.00",08-14-2026,07-30-2027,350 days,No,Yes,$1330,G.A.S. PROPERTIES,Apartment,University District: Central,Above Ground,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,$350,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$250,$35,$35,$25,Yes,Yes,Yes,No,No,No,No,,
34 East 13th Avenue Unit B,https://offcampus.osu.edu/search-housing.aspx?property=17884&pricefrom=0&sort=1&alllandlords=0,000045DC,"$1,330.00",08-14-2026,07-30-2027,350 days,No,Yes,$1330,G.A.S. PROPERTIES,Apartment,University District: Central,Above Ground,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,$350,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"-Off street parking
-Security Lighting
-Smoke detectors
-Fire extinguisher
-Garbage disposal",$250,$25,$25,$25,Yes,Yes,Yes,No,No,No,No,,
1395 Summit Street,https://offcampus.osu.edu/search-housing.aspx?property=19770&pricefrom=0&sort=1&alllandlords=0,00004D3A,"$1,345.00",08/01/2026,07/01/2027,12 months,No,Yes,$1345,Peak Property Group,Apartment,University District: Southeast,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,0,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"TO SCHEDULE A SHOWING: 614-360-2020/peakpropertygroup.com

WEBSITE: www.peakpropertygroup.com",$250,$35,$35,$35,Yes,Yes,Yes,No,No,No,No,,
1393 Summit Street,https://offcampus.osu.edu/search-housing.aspx?property=19485&pricefrom=0&sort=1&alllandlords=0,00004C1D,"$1,345.00",08/01/2026,07/01/2027,12 months,No,Yes,$1345,Peak Property Group,Apartment,University District: Southeast,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"TO SCHEDULE A SHOWING: 614-360-2020/peakpropertygroup.com

WEBSITE: www.peakpropertygroup.com

View our 3D Tour Here: https://my.matterport.com/show/?m=exJSTfcBuSi",$250,$35,$35,$35,Yes,Yes,Yes,No,No,No,No,,
1372 Forsythe Avenue,https://offcampus.osu.edu/search-housing.aspx?property=12328&pricefrom=0&sort=1&alllandlords=0,00003028,"$1,345.00",7/25,7/20,12 months,No,No,$1 month rent,JB Properties,Duplex/Town House,University District: Southwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"washer dryer in apt, 2 off street parking spots, dishwasher and breakfast bar.",$0,$0,$0,$0,No,No,No,No,No,No,No,,
253 East 19th Avenue Unit B,https://offcampus.osu.edu/search-housing.aspx?property=21117&pricefrom=0&sort=1&alllandlords=0,0000527D,"$1,350.00",08-19-2026,07-31-2027,12 months,No,No,$1350,Hometeam,Apartment,University District: Northeast,Ground Level,"Columbus, OH",2,"1 full, 0 half",2,No,No,Laundry facilities in the unit,Yes,1,Yes,$Ask us about our pricing,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,No,No,,$0,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
